QUESTION,BT LEVEL
"Given the two solutions to the stated programming problem, rate the solutions in  terms of efficiency and readability.",Evaluation
"Maslow's hierarchy of needs was developed by Abraham Maslow, a specialist in human behavioural psychology. The hierarchy was first developed to help explain the connection between basic human needs and human desires. Distinguish the hierarchy with appropriate example. ",Analysis
Describe how interest rates affect the economy,Comprehension
Various policies were implemented by the governments in order to mitigate the concerns over efficient losses arising from natural monopoly. Describe natural monopoly and provide ONE (1) example of natural monopoly.,Comprehension
Name and sketch the proposed retaining wall in plan view to show the main elements of the wall. ,Application
A bond fund manager decided to allocate certain percentage of the portfolio in foreign bond market to improve the reward-to-risk ratio. Briefly explain THREE (3) specific risks related to investing in international bond market. ,Comprehension
Discuss the advantages of real-time data input and over batch processing in expenditure cycle. ,Comprehension
Estimate the time it would take to transmit the performance  over a network with 64 kbps.,Application
An electron experiences a potential difference of 5 kV in vacuum. Find the wavelength of the particle. ,Comprehension
Describe “mechanism-based inhibitors”. ,Comprehension
Briefly explain Financial Reporting System (FRS) and identify THREE (3) potential risks in FRS. ,Comprehension
Determine the oxide capacitance. ,Application
Recommend appropriate data warehouse architecture for the company and illustrate it with a diagram.,Synthesis
Suggest and explain TWO (2) ways to measure a bank's profitability. ,Synthesis
Recite the principles of the Data Protection Act.,Knowledge
NIKE will be conducting consumer research on their footwear. Assess FIVE (5) types of consumer research that Nike can implement by providing an appropriate example for each. ,Evaluation
Analyze and explain the critical purpose of the components design of a raking shore to avoid façade retention failure. ,Analysis
Discuss and show the impact of CRM strategies in the telecommunication sector.,Application
Justify the object oriented programming concept,Evaluation
Explain TWO characteristics of rich media. ,Comprehension
"""An increase in the money supply will lead to an increase in the market equilibrium interest rate.” Comment and justify the above statement with an appropriate diagram. ",Evaluation
The Glass-Steagall Act of 1933 (Banking Act) restricted the asset powers of commercial banks in US to low-risk underwriting areas. List FOUR (4) requirements under Glass-Steagall Act of 1933.,Knowledge
"Due to saturated domestic markets, large firms were looking for foreign countries for new customers. Explain why China has been choose as a new market. ",Comprehension
"The internet has been considered as a low cost option for selling products and services. From a firm's perspective, explain FOUR (4) factors that add to the cost of doing business on the internet. ",Comprehension
"Justify the choice of supplier. From your choice, determine the optimal order quantity and total annual cost of ordering, purchasing and holding the component. ",Evaluation
Explain TWO  (2)  strengths and  TWO  (2) weaknesses of clustering based method in outlier detection.,Analysis
Briefly provide any TWO (2) real life situations to illustrate on ethical dilemma.,Comprehension
decide about the most exciting part of the book. being sure to give at least three reasons why?,Evaluation
Explain briefly the media usage in advertising effectiveness. ,Comprehension
Draw the basic outline of a page of notes using the Cornell Method?,Knowledge
Describe how SPATIAL Compression and TEMPORAL Compression are used in video compression.,Application
Describe how the linear polarization method can yield corrosion rates,Comprehension
Briefly explain how Ant Colony Optimization (ACO) algorithm can be used to solve Travelling Salesperson Problem (TSP).,Application
Discuss on the importance of KM with specific reference to its impact on employee's learning and process efficiency.,Analysis
Develop an ABC classification system for the 10 items. ,Synthesis
Oxidation is one of the most important thermal processes. Briefly discuss the characteristics of dry oxidation. ,Comprehension
There are several corporate governance tools available for institutional shareholders activism. Differentiate shareholder resolution and proxy voting,Analysis
Show how NLP techniques can be deployed in business.,Application
"As an educator, evaluate FIVE (5) advantages and FIVE (5) disadvantages of using technology in education. ",Evaluation
Describe the enzyme characteristics that are desirable in high temperature industrial applications. ,Comprehension
Support your answers with ONE (1) example in everyday life for EACH perspective. ,Evaluation
Explain the concept of clicks-and-bricks model in e-commerce.,Comprehension
Justify your answers with elaborations by providing any TWO (2) reasons.,Evaluation
Briefly list the different types of building maintenance. ,Knowledge
Describe the assumptions of monopolistic competitive market.,Comprehension
Compare and contrast Manufacturing Resource Planning  (MRP-II) and Lean Manufacturing.,Analysis
Explain how instructional materials can facilitate the teaching and learning process. Give ONE (1) example. ,Comprehension
State the characteristics of each type of corrosion testing studied,Knowledge
Evaluate why a monopolist holds more undesirable characteristics in comparison to a perfect competitor. Give evidence from the graph to support your answer.,Evaluation
Decide which method of solving a problem was most effective ,Evaluation
"Oxygen is effectively transported by hemoglobin, regulated by some allosteric effectors in human blood. Name these allosteric effectors and discuss how their presence increases effective delivery of oxygen to tissues.",Comprehension
List FIVE (5) phases of organizational conflict described by Pondy (1967). ,Knowledge
"Search engines are key means of attracting traffic to websites. As a new marketing executive with Munchy's Malaysia, recommend THREE (3) tactics used in search engine marketing (SEM). ",Synthesis
Briefly explain how clay particles and soil organisms influence soil structure. ,Comprehension
Identify FIVE (5) Maslow's Hierarchy of Needs based on organizational context. ,Knowledge
Standard ad formats such as leaderboard and skyscraper are common in digital display advertising. Propose FIVE (5) other creative ad formats which are more interactive and engaging. ,Synthesis
List and explain the FOUR (4) considerations when selecting a basement wall. ,Comprehension
Explain what is meant by occlusion and discuss the ability of chain coding to cope with occlusion.,Comprehension
A blue solid cube with dimensions of 10.0 x 10-9 m was dispersed into water to become colloidal particles with dimensions of 1.0 x 10-9 m. Calculate the changes of surface area to volume (surface / volume). ,Application
"Base on the case study given, summarize THREE (3) ISM security problems.",Comprehension
Define factors of production.,Knowledge
" How do you distinguish between the binge-eating/purging type of anorexia nervosa and bulimia nervosa, purging type",Analysis
Explain Greimas square tool and discuss how it can be applied the aviation industry.,Application
"Besides silicon and germanium, name ONE (1) other material that can be used as the substrate of a transistor. ",Comprehension
Conduct an investigation to produce information to support a view.,Analysis
Compare and contrast Manufacturing Resource Planning  (MRP-II) and Lean Manufacturing.,Analysis
"In your opinion, identify the relationship between factors of and a country's economic system.",Comprehension
Which of the following item does not belong to the set ?,Knowledge
How to Construct the Optimal Maintenance Problem,Application
List out any SIX (6) factors to be considered when designing a layout. ,Knowledge
Describe the THREE (3) causes of concrete blister. ,Comprehension
"In your own words, describe Supply Chain Management (SCM).",Comprehension
Briefly  describe  THREE  (3) types  of business  process  that  traditionally organized around functional areas of business. Provide an example of each.,Knowledge
"Use Porter's five competitive forces to analyze FiredUp, Inc.",Application
Create a poster that promote jeans to local senior citizen which appeal directly to a multiracial citizen in Malaysia.,Synthesis
Identify FIVE (5) key players in advertising. ,Knowledge
when was the UN formed ,Knowledge
Suppose Phillip wasn't rescued shortly after Timothy's death. How long could he have survived?,Synthesis
Provide TWO (2) suggestions on how a Web presence help Columbiana's government.,Synthesis
Draw the energy band diagram of an intrinsic Si and label the band gap energy. ,Comprehension
"Analyze the problem, identifying its variables.",Analysis
There is a relationship between the level of construction activity and a country's stage of development. Discuss.,Analysis
Identify the type of crisis based on time as a critical variable. ,Comprehension
Determine the author’s point of view,Comprehension
Categorize the basic concepts of multimedia with an example for each. ,Comprehension
"Evaluate the types of power Benjamin Fang is exercising in Sun Plantations, and explain how this is being eroded by the changes taking place in the environment.",Evaluation
Class Facility is an abstract class. Explain what this means,Comprehension
National income accounting refers to a set of rules and techniques that are used to measure the national income of a country. Explain the EIGHT (8) reasons why national income accounting is important. ,Comprehension
Identify and discuss THREE (3) issues on employee productivity problems that companies face.,Comprehension
Model an Olympic Village for the new Millenium.,Application
"Using the data shown in Table 1, generate some frequent item sets.",Application
"Discuss the role of an infomediary in the online distribution system and evaluate the benefits of this type of distribution system to the consumer, infomediary and advertiser. ",Evaluation
"Three sales sub-stages: qualification, proposition and negotiation are included in both OpenERP and SugarCRM, before a deal is won. Give a brief description of these sub-stages.",Comprehension
"Explain in detail the chemisorptions of hydrocarbon (eg. alkene, alkyne etc). Focus only on molecular adsorption of hydrocarbon on solid surface at low temperature.",Comprehension
Analyze THREE (3) factors that can affect the option premium. ,Analysis
who is the founder of the kingdom of saudi Arabia,Knowledge
In order to reduce the international competition to protect some major sector of the economy. List and explain THREE (3) instruments that can use to protect our domestic industries. ,Comprehension
State four attributes of well engineered software.,Knowledge
Explain how RequestDispatcher mechanism in the context of Servlet and JSP technology  has the ability to  facilitate updating  and maintaining  information on job  advertisements  across  several  dynamic  web  pages.,Comprehension
List THREE (3) characteristics of monopolistic competition and explain how do firms in this market structure compete.,Comprehension
in which continent does the state of suriname fall,Knowledge
What data was used to evaluate ____________?,Evaluation
Explain the differences between forward and futures contract. ,Comprehension
Summarise the challenges of global advertising. ,Comprehension
Distinguish between 'differential foundation settlement' and 'uniform foundation settlement'.,Analysis
Name the food groups and at least two items of food in each group.,Knowledge
Describe how Phillip and Timothy survived on the Cay.,Comprehension
"Explain how currency depreciation will affect export, import and the balance of trade of the country. ",Analysis
suggest ways in which it could have responded more effectively,Evaluation
Write the definition of displaySize() method for each class,Application
How can you differentiate between...?,Analysis
Critically analyze the image above and discuss the strategic decisions associated with the appeals of the advertisement.,Analysis
Solve a math problem using familiar procedure or formula,Application
Define attitudes. ,Knowledge
What changes to . . . would you recommend?,Evaluation
Rewrite the following program so that it is formatted properly.,Application
Provide TWO (2) suggestions on how a Web presence help Columbiana's government.,Synthesis
"Explain the definition of a “robust model”. Specifically, if a manager exclaimed “The calculated EOQ is wrong because the actual demand is 10% greater than estimated”, justify your response. ",Evaluation
State any FOUR (4) characteristics of valuable information.,Knowledge
Propose a multimedia presentation for UTAR to promote bachelor's degree courses to potential applicants.,Synthesis
Suggest the most suitable growth model that could be applied to describe the growth of above-mentioned Lactobacillus acidophilus strain. Briefly explain the suggested growth model.,Synthesis
 Sketch a prediction of the field lines for the arrangement of electrodes shown in Figure 2,Application
Define problem solving processes.,Knowledge
Steel is the most widely used reinforcing materials in concrete structure. Briefly explain the general properties of steel. ,Comprehension
Briefly provide any TWO (2) real life situations to illustrate on ethical dilemma.,Comprehension
Compute the volume of a cylinder,Application
Two different soils were obtained during sampling and the distance between the two sites were only 100 meters apart. Discuss TWO soil forming factors which are most likely to explain the differences. ,Comprehension
Define soil pH. ,Knowledge
"As an editor-in-chief, suggest how you can motivate your experienced journalists to remain with your paper.",Synthesis
"If your story occurred long ago, compare that time with today in a good paragraph. If it was a modern story, compare it with a long time ago and tell what would be different.",Analysis
Develop a set of criteria for distinguishing between a good and bad example of this.,Analysis
Construct the Data Path of the RISC Processor given in the previous question ,Application
You are a project manager working on a 8 storey building conservation project located in a congested urban area with poor soil bearing capacity and underground public utilities. Propose to the building owner why an internally braced shoring system is preferable to raking shore and weighted vertical dead shores. ,Synthesis
Identify FIVE (5) problem solving processes. ,Knowledge
Suggest how multimedia applications may  be used for each of the scenarios below. (i) IT Avenue will be organising a road show at various shopping malls to promote a new model of mobile phone from Nokia.,Application
Develop a plan for a new Olympic Bid System.,Synthesis
The unemployment problem can be overcome by increasing the aggregate output in a country. Explain THREE (3) multiplier concepts that can be applied in this problem. ,Application
Determine the equilibrium price and quantity.,Application
Support your views with ONE (1) example for each strategy.,Evaluation
Barbie Dolls have been banned in some of countries. Provide FOUR (4) countries and evaluate the reason behind the ban. ,Evaluation
Calculate the average holding and setup cost per year. ,Application
Malaysia is currently having trade deficit and policy maker tries to improve the balance of trade by depreciate the Ringgit Malaysia. Discuss the impact of this policy by using an appropriate diagram. ,Comprehension
State the THREE (3) approaches to calculate national income.,Knowledge
Explain the process of consumer perception and provide ONE (1) example to support your explanation. ,Comprehension
"""The bullwhip measure can be used to analyze supply chains. Nevertheless, inaccurate measures taken in addressing variance amplification can have ramifications"".  Explain this statement. ",Comprehension
"Popular search engines such as Google, Yahoo and others are used to search information on the web based on user defined keywords. Determine and justify the appropriate HTTP method that should be deployed by those search engines.",Evaluation
PEST and SWOT are popular strategy tools. Discuss how the TWO(2) tools can be applied in manufacturing business environment.,Application
Calculate the market demand and market supply in table form. ,Application
"As opposed other curves, justify with explanation why Average Fixed Costs
	(AFC) is negatively sloped.",Evaluation
Explain in your own words what do you mean by the term economics?,Comprehension
Identify THREE (3) building related statutory laws in Malaysia.,Comprehension
List and briefly describe the FOUR soil forming processes. ,Comprehension
Sketch ONE (1) organic object in one layout to show harmony in shape and color. ,Comprehension
Would you have liked to have had Cinderella for a sister? Explain why or why not.,Evaluation
"Inflation is one of the major concerns of all countries in the world. Discuss how the Bank Negara Malaysia (BNM) would fight against inflation problem and by using appropriate diagrams, show how the BNM actions affect the investment level and equilibrium output level. ",Application
Determine the number of possible colors and calculate how much memory is required to represent the following bitmap images.,Application
"A five-year, RM1,000 par value bond with a 6 percent semi-annual coupon is trading at current yield of 4 percent. Compute the duration of the bond. ",Application
Write THREE (3) categories of color. ,Knowledge
Briefly explain the drawbacks of using deficiency symptoms to determine fertilizer rates. ,Comprehension
The 'creators' and critics' are the most desired social segments. Explain how social media marketers are able to increase these segments' level of involvement in the social media. ,Comprehension
State and discuss the approach as prescribed in Malaysian Code on Corporate Governance (MCCG) 2017. ,Comprehension
State TWO phenomena that affect the stabilization of colloidal nanoparticles in aqueous medium. ,Knowledge
Explain Greimas square tool and discuss how it can be applied the aviation industry.,Application
Explain why 3D animation requires much time consuming and complicated in the development phase compared to 2D animation.,Analysis
Explain the activities involved in the building process. ,Comprehension
"Comparing to the reference sequence, identify the functional elements to represent S2 and S3, respectively. ",Comprehension
Apply Porter's five competitive forces analysis to examine the summer job industry for your uncle.,Application
List the procedure to draw a mixed potential or Evans' diagram,Knowledge
Provide   (with  explanations)   THREE  (3)  differences Programming and System Programming.,Comprehension
Define symmetrical balance and asymmetrical balance. Draw an example for each. ,Comprehension
Describe the Concept of Culture.,Knowledge
"""Firms can use existing brand names or create new brands on the internet"". Evaluate the above statement. ",Evaluation
Describe the concept or purpose of Qlassic and CIS (Construction Industry Standards) documents. ,Comprehension
Currently the product life cycle for Apple iPod is in the 'growth stage'. Provide evidence to support your answer.,Evaluation
List and explain the TWO (2) processes that can be done with the areas of the image that should be displayed in some color which is not available in the reduced palette.,Comprehension
Define four types of traceability.,Knowledge
Identify the role of advertising in global women's magazines and local women's magazine. ,Comprehension
Derive the data rate that is generated by the digitization procedure in each case assuming that the Nyquist theorem is applied with 12 bits per sample for the speech signal and 16 bits per sample for the music signal. Give your answers in kilo -Byte-per-second (kB/s).      ,Application
Explain FIVE (5) characteristics of the construction sector. ,Comprehension
Describe the major clinical differences between visceral and somatic pain,Comprehension
Suggest THREE (3) ethical considerations that ANA advertisers should take into account in designing commercials.,Synthesis
How could we determine the number of pennies in a jar without counting them?,Synthesis
Briefly discuss THREE factors with ONE example each that should be considered when determining fertilizer placement method. ,Comprehension
Write a journal from the point of view of mountaineer.,Synthesis
"In order to achieve high economy growth the government can implement expansionary fiscal policy, however, the effect of an increase in government spending can be taken aback by crowding out effect. Recommend and graphically explain the action that can be taken by Bank Negara Malaysia (BNM) to avoid this problem.",Synthesis
Design a scientific study to test the effect of different kinds of music on hens’ egg production.,Synthesis
"A banker's acceptance (BA) is a promised future payment, or time draft, which is accepted and guaranteed by a bank and drawn on a deposit at the bank. The BA specifies the amount of money, the date, and the person to whom the payment is due. Draw and explain the sequence of a banker's acceptance transaction. ",Application
"Propose with justification, the types of maintenance relevant to a library building. ",Evaluation
"how do the clauses and expressions given in the article which replace GOTO statements, lead to the three traditional control statements",Synthesis
Name five types of common dialog boxes.,Knowledge
Explain FOUR (4) process strategies you have learned. ,Comprehension
List three predominant economic systems that exist,Knowledge
which part of a data packet is used by a router to determine the destination network,Knowledge
Write down the FIVE (5) phases of the design process. ,Knowledge
"After examining the videotape of a play in a football game, determine the degree to which the defensive team performed effectively and",Evaluation
" Briefly compare this way of testing the satisfiability of to the more standard way using SLD Resolution, as in Prolog",Comprehension
Specify a deterministic finite automaton (DFA) recognizing the,Application
List any TWO (2) real life examples of  the  organization  that implement the clicks-and-bricks B2C E-Commerce.,Knowledge
"Local oxidation of silicon or LOCOS is a type of application which involves wet oxidation. With the aid of diagrams, briefly illustrate this process. ",Comprehension
Select the best title for a passage,Comprehension
Explain whether Howard can have the video streamed effectively at 1 Mbps data rate on a 1 Mbps Internet  connection.,Evaluation
Describe FIVE (5) characteristics of hardened concrete. ,Comprehension
Describe THREE (3) deposit liabilities for commercial banks. ,Knowledge
Compute the value of the government multiplier and tax multiplier in an open economy. ,Application
Demonstrate how the seasons occur.,Application
"Differentiate bonds that are traded at par, premium and discount.",Analysis
The Higgs Report (2003) is among the first report that discusses the importance of Senior Independent Non-Executive Director (Senior INED). Analyse the rationales of having Senior INED in a company. ,Analysis
Make a scrapbook about the areas of study.,Application
Calculate the balance of trade when the economy is at equilibrium and interpret your answer. ,Application
"Discuss FIVE (5) principles that are central to relational leadership by Komives, Lucas and McMahon (1998). Provide ONE (1) example for each principle. ",Comprehension
Thailand currently experiences a 17% unemployment rate and the investors in the country are sensitive towards changes in the interest rate. Explain to your friend the policy to be taken by Central Bank of Thailand to achieve 3% of unemployment rate by using appropriate diagram(s). ,Comprehension
Discuss in terms of implementation how to restrict resources such as web components and Enterprise Java Bean (EJB} components for use to only authorized users. ,Application
"Write a TV show play, puppet show, role play, song or pantomime about..",Synthesis
Briefly discuss how spatial compression is different from temporal compression.,Comprehension
List FIVE (5) functions of Department of Safety and Health as outline in OSHA 1994.,Knowledge
Estimate roughly how long the collision process takes,Evaluation
"“Instead of focusing only on investing in local market, some investors also invest in foreign market”.  Justify above statement by providing FOUR (4) benefits of investing in foreign market. ",Evaluation
Explain what a junk bond is and its role in the financial market. ,Comprehension
"In the renovation of a new car showroom, the client wishes to attract the attention of pedestrians who passes by their building. Propose the type of external envelop for this building and explain the reasons. Sketch the proposed external envelop. ",Synthesis
Explain the types of construction excavation. ,Comprehension
Draw an expiry profit diagram for the GCB bank’s position. ,Comprehension
Calculate the level of output Japan needs to achieve in order to maintain a balanced trade account. ,Application
"Combine elements of drama, music, and dance into a stage presentation.",Synthesis
Multimedia is shifting from being localized (contained on a CD-ROM) to being distributed (available on the World Wide Web). Give FIVE (5) implications on this.,Knowledge
Timber and plastic are common materials used in construction industry. Elaborate FIVE (5) specific applications for each material in building construction. ,Comprehension
"List any FIVE (5) themes identified by Tom Peters and Robert Waterman for “excellent 
organizations"". ",Knowledge
Explain the principle of ultrasonography in pregnancy diagnosis for farm animals. ,Comprehension
Discuss any THREE (3) ways by which an organization can benefit from e-commerce.,Comprehension
Weeds reduce the quality of crops and livestock. Explain. ,Comprehension
Explain how the increment or decrement operators affect the result of p.,Comprehension
"“The efficient market hypothesis (EMH) states it is impossible to consistently outperform an efficient market and the only way an investor can possibly obtain higher returns is by purchasing riskier investments."" Justify the statement. ",Evaluation
“Millennials and kids are important market segments for e-marketers”. Discuss on the above statement. ,Comprehension
Can you develop a proposal which would . . .?,Synthesis
Suggest FOUR (4) strategies that improve individuals' psychological well-being from the physiological psychology perspectives. Elaborate your answers with examples. ,Synthesis
List any THREE (3) practical approaches for payment collection  in revenue cycle.,Knowledge
"With the aid of a diagram, explain LOCOS. ",Comprehension
Can you state in your own words what the problem is asking you to do,Comprehension
Compare and contrast between low context cultures and high context cultures. ,Analysis
Explain FOUR (4) factors in the Globalization of Financial Markets. ,Comprehension
Explain TWO (2) ways on how monopoly harms consumers and hurts the economy. Justify and illustrate your answers.,Evaluation
"Differentiate among “external wall', 'internal wall' and 'parapet'. ",Analysis
Justify if DHT`s supply chain performance is better than PLI. ,Evaluation
Name  the  TWO  (2) categories and explain the differences between the two categories.,Comprehension
Apply SWOT analysis in education environment and discuss its impact in the revenue analysis.,Application
Define Inheritance concept,Knowledge
List FIVE (5) major business activities of investment banks. ,Knowledge
Treating emotion as a useful concept is challenging. Critically discuss why treating emotion as a useful concept is challenging. Provide TWO (2) points. ,Comprehension
Calculate the balance of trade when the economy is at equilibrium. ,Application
Relate FOUR (4) disadvantages of Web-based learning as an emerging digital technology used in teaching and learning.,Comprehension
Briefly  discuss  how  TQM  could  be  applied  m  the  management  of  the newspapers' editorials.,Application
"As a manager in an Information Technology firm, suggest and elaborate any THREE (3) actions that organizations can take as part of the responsibility towards the society.",Synthesis
Predict the differences of a planet with no seasonal changes.,Synthesis
"The tyrosinase-containing solution was dissolved in 50 mM potassium phosphate buffer containing 0.01 mM NaCl, pH 6.5, before applying to a DEAE Sephadex A50 column. Suggest and explain how the mobile phase should be modified to elute the bound tyrosinase. ",Synthesis
"Contrast the treatment of ""well known"" trademarks provided by Paris Article and by TRIPS Article ",Analysis
Design an ideal newspaper organizational chart. Then describe the functions of the respective departments and how they relate to each other horizontally and vertically.,Synthesis
Suggest a possible Java Web architecture(s) for the proposed application based on the case study.,Synthesis
"With an appropriate example, discuss the effectiveness of using message queue compared to pipes in communication between processes.",Analysis
"Recommend a suitable metal for the fabrication of power tools like drills, files and chisels. Your recommendation should be justified by elaborating the important properties of the proposed metal. ",Evaluation
"In your opinion, identify the relationship between factors of and a country's economic system.",Comprehension
Define economic threshold and its use. ,Comprehension
"In about 70 words, explain how the different components function in language learning. ",Comprehension
"CRM technology helps companies to collect information about consumer behaviour, conversations and characteristics. As a new digital marketing manager with an online retailer, suggest FIVE (5) ways how you can collect data and push customised information to customers. ",Synthesis
Briefly explain any TWO (2) reasons why multimedia is important for education.,Comprehension
Discuss THREE (3) types of anomalies associated with database tables that have not been normalized. ,Comprehension
 How do you construct foliations on a given manifold M?,Application
"In  your  opinion,  discuss  how  modern   supply  chain  management systems facilitate a pull-based  model.",Comprehension
Explain FOUR (4) types of unemployment.,Comprehension
Assess THREE (3) brain structures that are associated with the language / speech function. Elaborate your answers with example. ,Evaluation
Draw the face-centered cubic cell and determine its packing fraction. State and explain the assumptions you have made. ,Application
Briefly analyse the SIX (6) internal control procedures over the payroll process of a multinational organisation. ,Analysis
Briefly discuss any THREE (3) specific internet technologies or tools that are commonly found in providing support for business activities.,Comprehension
How would you relate position concept with position strategy,Application
List the advantages and disadvantages of Public Offering.,Knowledge
Define and explain the THREE (3) steps of bringing a new security issue in primary market. ,Comprehension
"Identify and recommend any appropriate amendments to the proposal presented in order to rectify the errors made in estimating the company's current cost of capital and current value. For each of the revisions, explain the reasons why it should be amended.",Evaluation
The news reported that the chicken consumption in Malaysia has fallen by 17.25 percent. Use firm and industry diagrams to explain the short run and long run effects. ,Application
Describe what multimedia is.,Knowledge
Provide THREE (3) examples of input devices.,Knowledge
Discuss a security framework for the proposed application.,Synthesis
Assess THREE (3) brain structures that are associated with movement. Elaborate your answers with example. ,Evaluation
Solve for the ten following fraction multiplication problems. Please make sure to show all your work.,Application
How many kilometers from your home to the university,Knowledge
Prepare a time-phased product structure. ,Application
Rewrite the story from an animal’s point of view.,Synthesis
Calculate the compression ratio for the compressed file.,Application
"Suppose prices of two goods are constant, explain what will happen to the budget line if there is an increase in consumer's income. Support your answer with an appropriate diagram.	",Comprehension
Define instructional materials. ,Knowledge
Briefly explain if restriction mapping is useful in determining the presence of minisatellite. ,Comprehension
Melting temperature (Tm) is an important criteria to consider when designing primers for PCR amplification. Comment. ,Evaluation
"Advise the five steps, as recommended by Porter and Millar, that can be applied by business managers in taking advantage of information technology.",Synthesis
"Assume that an economy is initially below the natural rate of output, due to the stock market crash in 2008. Explain what policy the government can implement in order to return the output to the natural level by using appropriate diagram.",Comprehension
How would you restructure the school day to reflect children's developmental needs?,Synthesis
Interpret the graph and state how many trees were cut down to produce paper.,Application
"Draw the energy band diagram of a pn junction. Label the depletion region and the electric field in the depletion region. For an unbiased junction, discuss the movement of majority and minority carriers and the resultant current that may arise at equillibrium. ",Comprehension
What would happen if the rainfall doubled in your state next year,Application
Differentiate between data and information using a real life example.,Analysis
Predict the effect on bulk density when a large quantity of organic matter is added into the soil. Justify your answer. ,Evaluation
Construct the 4-Bit Ripple carry Adder Circuit,Application
Concrete mould can be fabricated using steel or plastic. Differentiate the characteristics of concrete mould that is produced by these materials. ,Analysis
 Estimate the risk of serious illness for consumers in different susceptible population groups,Evaluation
Presenting the business plan is very crucial to convince potential consumers and financers. List any SEVEN (7) suggestions for good presentation of your business plan.,Knowledge
Draw a diagram explaining how air pressure affects the weather.,Comprehension
Identify and explain FIVE (5) countries that ban advertising to children. ,Comprehension
Explain the FIVE (5) procedures which need to be documented during the site inspection. ,Comprehension
Differentiate spoken and written language in FIVE (5) aspects. ,Analysis
Explain the meaning of creative brief.,Comprehension
List the data members,Knowledge
"Demonstrate and illustrate measures of central tendency and dispersion, write a journal entry. ",Application
Differentiate between repurchase agreement (repo) and reverse repurchase agreement. ,Analysis
Create a set of guidelines to determine the points of a plant susceptible to localized corrosion.,Synthesis
Provide THREE (3) justification on how would the university community be encouraged to place orders and become loyal customers.,Evaluation
Draw a faced-centered cubic (FCC) cell. Calculate the packing fraction of the FCC cell. State any assumptions you have made and explain your calculations. ,Application
Describe the use of architecture drawings in construction. ,Comprehension
Explain the solum treatment used in the floor construction. ,Comprehension
Draw the diagrams for a centralized database and a distributed database.,Comprehension
How does your pet differ from other animals?,Analysis
Describe price feedback effect by using relevant example.,Comprehension
How could someone modify the Cornell Method to make it effective for researching a topic for a paper?,Application
"The technology of VLSI is defined by the feature size. Over the years, the feature size has been reducing. Analyze and explain the reasons for doing so. ",Analysis
Explain the relationship between HTTP GET method and URL Rewriting in the context of session management.,Comprehension
"""Portfolio management strategies are different based on the investor's risk preferences and expected return"". Based on above statement, explain TWO (2) major portfolio management strategies. ",Comprehension
How do we construct agents that can deliver. “good” assistance,Application
Provide justifications as to why integrity and reliability is important in a company's annual report and accounts (ARAS) from corporate governance point of view.,Evaluation
Discuss ONE (1) limitation and benefit of duration. ,Comprehension
"In a table form, state the advantages and disadvantages of X-ray crystallography and nuclear magnetic resonance in elucidating the three dimensional structure of proteins. ",Comprehension
Describe graphic design and product design. ,Knowledge
Provide  each  of  Market  Economy  and  Planned  Economy  with  an example.,Comprehension
Illustrate each of these situations with TWO (2) real-life examples.  ,Comprehension
A solid cube with dimensions of 10.0 nm was dispersed into water to become colloidal particles with dimensions of 1.0 nm. Calculate the changes of surface area to volume (surface / volume). ,Application
Briefly  discuss  how  TQM  could  be  applied  in  the  management  of  the newspapers' editorials.,Application
Create a poster that promote jeans to local senior citizen which appeal directly to a multiracial citizen in Malaysia.,Synthesis
Plan a research paper on a given historical topic,Synthesis
design a cost effective strategy to generate reliable data.,Synthesis
Give the three (3) categories of primitive data types and briefly explain what each category is used for.,Knowledge
Analyze the selected information.,Analysis
Illustrate and explain how perfect competitive firms adjust in long-run if they are enjoying positive economic profit in short-run.,Comprehension
"Imagine that you are a relative of an older adult who is initially diagnosed to be living with Parkinson's disease, suggest FOUR (4) strategies to further promote the wellbeing of the individual. ",Synthesis
Differentiate between data and information using a real life example.,Analysis
Explain the change in conductivity for a metal and an intrinsic semiconductor as temperature increases. ,Comprehension
"By drawing appropriate diagrams, differentiate between flat file model and database model. ",Analysis
Subsurface exploration can be divided into THREE (3) programs. Explain in detail the conclusion that could be derived from each program.,Comprehension
Translate the following passage from The Iliad into English.,Comprehension
Teacher-prepared materials are the best form of resources for your English language lesson. State FIVE (5) factors that you would consider when preparing your resources. ,Knowledge
Name 5 steps that follow the taking of notes (within 24 hours or less)?,Knowledge
Argue critically with relevant examples.,Evaluation
"Using straight value depreciation, decide between two copper-nickel alloys for the design of a heat exchanger.  ",Evaluation
Draw a table indicating purification fold and yield at each step. ,Comprehension
Draw a pH denaturation profile for an enzyme. Explain what happens to the enzyme during pH denaturation. ,Comprehension
Compare and contrast the characteristics and usage between aluminium and high carbon steel. ,Analysis
"With reference  to the case, evaluate the similarities  and differences  between  open mindedness and mental models.",Evaluation
Define instructional materials. Provide an example of an instructional material for a subject. ,Comprehension
Can you see a possible solution to . . .?,Synthesis
How would you rank the items given the criteria ?,Evaluation
Label the parts of the following insects: Grasshopper,Knowledge
Sketch the Type Il isotherm and provide a brief description of its nature and the processes that gives rise to the isotherm. ,Application
"Discuss the importance of shikimate pathway, a primary metabolism pathway related to plant secondary metabolism. ",Comprehension
Define prejudice. ,Knowledge
Appraise data in support of a hypothesis.,Evaluation
Explain the term “level scheduling'. ,Comprehension
 List and explain TWO (2) advantages and THREE (3) disadvantages of economic growth. ,Comprehension
List the major forces acting on the concrete body of the dam excluding earthquake and wind forces. ,Comprehension
